Only chairs, signature and context sets
chair.40002; predicted_sense: [1408, 'chair-rail_chair']; correct_sense: chair-0;
chair.40105; predicted_sense: [4679, 'chair-conformation']; correct_sense: chair-0;

chair.40108; predicted_sense: [92558, 'chair-furniture']; correct_sense: chair-0;

chair.40111; predicted_sense: [32306, 'chair-furniture']; correct_sense: chair-0;

chair.40112; predicted_sense: [27605, 'chair-furniture']; correct_sense: chair-0;

chair.40114; predicted_sense: [20896, 'electrical-chair']; correct_sense: chair-0;

chair.40115; predicted_sense: [112656, 'chair-furniture']; correct_sense: chair-0;

chair.40117; predicted_sense: [3475, 'electrical-chair']; correct_sense: chair-0;

chair.40120; predicted_sense: [65279, 'chair-furniture']; correct_sense: chair-0;

chair.40121; predicted_sense: [19627, 'electrical-chair']; correct_sense: chair-0;

chair.40124; predicted_sense: [32306, 'chair-furniture']; correct_sense: chair-0;

chair.40125; predicted_sense: [19764, 'chair-rail_chair']; correct_sense: chair-0;

chair.40128; predicted_sense: [42227, 'chair-furniture']; correct_sense: chair-0;

chair.40129; predicted_sense: [22120, 'chair-furniture']; correct_sense: chair-0;

chair.40131; predicted_sense: [23703, 'chair-furniture']; correct_sense: chair-0;

chair.40132; predicted_sense: [5188, 'electrical-chair']; correct_sense: chair-0;

chair.40135; predicted_sense: [18785, 'chair-furniture']; correct_sense: chair-0;

chair.40136; predicted_sense: [20286, 'chair-rail_chair']; correct_sense: chair-0;

chair.40139; predicted_sense: [20286, 'chair-rail_chair']; correct_sense: chair-0;

chair.40142; predicted_sense: [28202, 'chair-furniture']; correct_sense: chair-0;

chair.40143; predicted_sense: [2909, 'chairman']; correct_sense: chair-0;

chair.40146; predicted_sense: [111052, 'chair-furniture']; correct_sense: chair-0;

chair.40147; predicted_sense: [64715, 'chair-furniture']; correct_sense: chair-0;

chair.40149; predicted_sense: [11894, 'electrical-chair']; correct_sense: chair-0;

chair.40150; predicted_sense: [56424, 'electrical-chair']; correct_sense: chair-0;

chair.40152; predicted_sense: [49614, 'chair-furniture']; correct_sense: chair-0;

chair.40153; predicted_sense: [110668, 'chair-furniture']; correct_sense: chair-0;

chair.40155; predicted_sense: [22611, 'electrical-chair']; correct_sense: chair-0;

chair.40156; predicted_sense: [445, 'chair-furniture']; correct_sense: chair-0;

chair.40158; predicted_sense: [50357, 'chair-furniture']; correct_sense: chair-0;

chair.40159; predicted_sense: [59430, 'chair-furniture']; correct_sense: chair-0;

chair.40161; predicted_sense: [81608, 'chair-rail_chair']; correct_sense: chair-0;

chair.40162; predicted_sense: [6081, 'chair-furniture']; correct_sense: chair-0;

chair.40165; predicted_sense: [22311, 'electrical-chair']; correct_sense: chair-0;

chair.40166; predicted_sense: [37021, 'chair-furniture']; correct_sense: chair-0;

chair.40169; predicted_sense: [13029, 'electrical-chair']; correct_sense: chair-0;

chair.40171; predicted_sense: [22802, 'chairman']; correct_sense: chair-0;

chair.40174; predicted_sense: [522, 'chair-rail_chair']; correct_sense: chair-0;

chair.40175; predicted_sense: [17409, 'chair-rail_chair']; correct_sense: chair-0;

chair.40178; predicted_sense: [93841, 'chair-furniture']; correct_sense: chair-0;

chair.40182; predicted_sense: [12093, 'electrical-chair']; correct_sense: chair-0;

chair.40184; predicted_sense: [24054, 'chair-furniture']; correct_sense: chair-0;

chair.40187; predicted_sense: [4594, 'electrical-chair']; correct_sense: chair-0;

chair.40189; predicted_sense: [2909, 'chairman']; correct_sense: chair-0;

chair.40190; predicted_sense: [29365, 'electrical-chair']; correct_sense: chair-0;

chair.40192; predicted_sense: [20091, 'chair-rail_chair']; correct_sense: chair-0;

chair.40196; predicted_sense: [11894, 'electrical-chair']; correct_sense: chair-0;

chair.40198; predicted_sense: [4285, 'electrical-chair']; correct_sense: chair-0;

chair.40199; predicted_sense: [32867, 'chair-furniture']; correct_sense: chair-0;

chair.40201; predicted_sense: [21041, 'chair-furniture']; correct_sense: chair-0;

chair.40202; predicted_sense: [37882, 'chair-furniture']; correct_sense: chair-0;

chair.40205; predicted_sense: [33049, 'chair-furniture']; correct_sense: chair-0;

chair.40208; predicted_sense: [19647, 'electrical-chair']; correct_sense: chair-0;

chair.40210; predicted_sense: [522, 'chair-rail_chair']; correct_sense: chair-0;

chair.40211; predicted_sense: [60283, 'chairman']; correct_sense: chair-0;

chair.40213; predicted_sense: [13826, 'electrical-chair']; correct_sense: chair-0;

chair.40214; predicted_sense: [6719, 'electrical-chair']; correct_sense: chair-0;

chair.40216; predicted_sense: [36454, 'chair-furniture']; correct_sense: chair-0;

chair.40220; predicted_sense: [4285, 'electrical-chair']; correct_sense: chair-0;

chair.40221; predicted_sense: [39151, 'electrical-chair']; correct_sense: chair-0;

chair.40224; predicted_sense: [26382, 'chair-furniture']; correct_sense: chair-0;

chair.40226; predicted_sense: [93059, 'chair-furniture']; correct_sense: chair-0;

chair.40227; predicted_sense: [38219, 'chair-furniture']; correct_sense: chair-0;

chair.30002; predicted_sense: [32306, 'chair-furniture']; correct_sense: chair-0;

chair.30004; predicted_sense: [15218, 'electrical-chair']; correct_sense: chair-0;

chair.30005; predicted_sense: [2525, 'electrical-chair']; correct_sense: chair-0;

chair.30008; predicted_sense: [13342, 'chair-furniture']; correct_sense: chair-0;

chair.30009; predicted_sense: [8049, 'chair-furniture']; correct_sense: chair-0;

chair.30011; predicted_sense: [162, 'chair-furniture']; correct_sense: chair-0;

chair.30012; predicted_sense: [32306, 'chair-furniture']; correct_sense: chair-0;

Accuracy: 0.5272727272727272 ; 58 / 110The amount of no_overlap: 0
